time,BSSID,Quality,RSSI,ESSID
20-09-09-14-53-32,A0:CF:5B:3E:17:50,25/70,-85,Unifi
20-09-09-14-53-32,10:BD:18:F0:C8:AF,31/70,-79,Unifi
20-09-09-14-53-32,A0:CF:5B:3F:69:3F,33/70,-77,Unifi
20-09-09-14-53-53,10:BD:18:F0:C8:AF,29/70,-81,Unifi
20-09-09-14-53-53,10:BD:18:F0:C8:A0,23/70,-87,Unifi
20-09-09-14-53-53,A0:CF:5B:3D:7F:D0,35/70,-75,Unifi
20-09-09-14-53-53,A0:CF:5B:3D:7F:90,28/70,-82,Unifi
20-09-09-14-53-53,10:BD:18:C7:27:50,36/70,-74,Unifi
20-09-09-14-54-07,10:BD:18:F0:C8:AF,26/70,-84,Unifi
20-09-09-14-54-07,10:BD:18:F0:C8:A0,23/70,-87,Unifi
20-09-09-14-54-07,10:BD:18:C7:27:50,30/70,-80,Unifi
20-09-09-14-54-07,70:DF:2F:9C:47:4F,29/70,-81,Unifi
20-09-09-14-54-19,10:BD:18:F0:C8:AF,31/70,-79,Unifi
20-09-09-14-54-19,10:BD:18:C7:27:50,31/70,-79,Unifi
20-09-09-14-54-19,70:DF:2F:9C:47:4F,25/70,-85,Unifi
20-09-09-14-54-19,A0:CF:5B:3E:17:50,31/70,-79,Unifi
20-09-09-14-54-19,10:BD:18:F0:C8:A0,31/70,-79,Unifi
20-09-09-14-54-32,10:BD:18:F0:C8:AF,33/70,-77,Unifi
20-09-09-14-54-32,10:BD:18:C7:27:50,31/70,-79,Unifi
20-09-09-14-54-32,70:DF:2F:9C:47:4F,25/70,-85,Unifi
20-09-09-14-54-32,A0:CF:5B:3E:17:50,29/70,-81,Unifi
20-09-09-14-54-32,10:BD:18:F0:C8:A0,31/70,-79,Unifi
20-09-09-14-54-32,A0:CF:5B:3D:83:70,29/70,-81,Unifi
20-09-09-14-54-48,10:BD:18:F0:C8:AF,27/70,-83,Unifi
20-09-09-14-54-48,A0:CF:5B:3E:17:50,29/70,-81,Unifi
20-09-09-14-54-48,A0:CF:5B:3D:83:70,29/70,-81,Unifi
20-09-09-14-54-48,A0:CF:5B:3D:5F:90,34/70,-76,Unifi
20-09-09-14-54-48,10:BD:18:F0:CA:BF,30/70,-80,Unifi
20-09-09-14-54-48,A0:CF:5B:3D:7F:DF,36/70,-74,Unifi
20-09-09-14-55-00,10:BD:18:F0:C8:AF,27/70,-83,Unifi
20-09-09-14-55-00,A0:CF:5B:3E:17:50,29/70,-81,Unifi
20-09-09-14-55-00,A0:CF:5B:3D:5F:90,28/70,-82,Unifi
20-09-09-14-55-00,10:BD:18:F0:CA:BF,31/70,-79,Unifi
20-09-09-14-55-00,A0:CF:5B:3D:7F:DF,24/70,-86,Unifi
20-09-09-14-55-00,10:BD:18:C7:27:5F,29/70,-81,Unifi
20-09-09-14-55-12,10:BD:18:F0:C8:AF,26/70,-84,Unifi
20-09-09-14-55-12,A0:CF:5B:3E:17:50,29/70,-81,Unifi
20-09-09-14-55-12,A0:CF:5B:3D:5F:90,28/70,-82,Unifi
20-09-09-14-55-12,10:BD:18:F0:CA:BF,33/70,-77,Unifi
20-09-09-14-55-12,A0:CF:5B:3D:7F:DF,23/70,-87,Unifi
20-09-09-14-55-12,10:BD:18:C7:27:5F,29/70,-81,Unifi
20-09-09-14-55-12,A0:CF:5B:3F:69:30,36/70,-74,Unifi
20-09-09-14-55-12,10:BD:18:F0:CA:B0,43/70,-67,Unifi
20-09-09-14-55-12,10:BD:18:C7:29:EF,31/70,-79,Unifi
20-09-09-14-55-12,70:DF:2F:9C:47:4F,23/70,-87,Unifi
20-09-09-14-55-24,10:BD:18:F0:C8:AF,26/70,-84,Unifi
20-09-09-14-55-24,A0:CF:5B:3D:5F:90,28/70,-82,Unifi
20-09-09-14-55-24,10:BD:18:F0:CA:BF,33/70,-77,Unifi
20-09-09-14-55-24,A0:CF:5B:3D:7F:DF,23/70,-87,Unifi
20-09-09-14-55-24,10:BD:18:C7:27:5F,29/70,-81,Unifi
20-09-09-14-55-24,A0:CF:5B:3F:69:30,34/70,-76,Unifi
20-09-09-14-55-24,10:BD:18:F0:CA:B0,30/70,-80,Unifi
20-09-09-14-55-24,10:BD:18:C7:29:EF,31/70,-79,Unifi
20-09-09-14-55-24,70:DF:2F:9C:47:4F,23/70,-87,Unifi
20-09-09-14-55-24,10:BD:18:C7:29:E0,32/70,-78,Unifi
20-09-09-14-55-24,38:ED:18:D0:EF:60,28/70,-82,Unifi
20-09-09-14-55-24,A0:CF:5B:3D:7F:D0,32/70,-78,Unifi
20-09-09-14-55-24,A0:CF:5B:3F:87:EF,29/70,-81,Unifi
20-09-09-14-55-39,10:BD:18:F0:C8:AF,26/70,-84,Unifi
20-09-09-14-55-39,10:BD:18:F0:CA:BF,26/70,-84,Unifi
20-09-09-14-55-39,A0:CF:5B:3D:7F:DF,23/70,-87,Unifi
20-09-09-14-55-39,A0:CF:5B:3F:69:30,35/70,-75,Unifi
20-09-09-14-55-39,10:BD:18:C7:29:EF,31/70,-79,Unifi
20-09-09-14-55-39,70:DF:2F:9C:47:4F,23/70,-87,Unifi
20-09-09-14-55-39,10:BD:18:C7:29:E0,32/70,-78,Unifi
20-09-09-14-55-39,38:ED:18:D0:EF:60,28/70,-82,Unifi
20-09-09-14-55-39,A0:CF:5B:3D:7F:D0,32/70,-78,Unifi
20-09-09-14-55-39,A0:CF:5B:3F:87:EF,29/70,-81,Unifi
20-09-09-14-55-39,A0:CF:5B:3E:16:BF,25/70,-85,Unifi
20-09-09-14-55-39,A0:CF:5B:3F:69:3F,25/70,-85,Unifi
20-09-09-14-55-39,10:BD:18:C7:27:5F,32/70,-78,Unifi
20-09-09-14-55-53,10:BD:18:F0:CA:BF,26/70,-84,Unifi
20-09-09-14-55-53,A0:CF:5B:3D:7F:DF,24/70,-86,Unifi
20-09-09-14-55-53,A0:CF:5B:3F:69:30,35/70,-75,Unifi
20-09-09-14-55-53,70:DF:2F:9C:47:4F,35/70,-75,Unifi
20-09-09-14-55-53,10:BD:18:C7:29:E0,24/70,-86,Unifi
20-09-09-14-55-53,A0:CF:5B:3D:7F:D0,26/70,-84,Unifi
20-09-09-14-55-53,A0:CF:5B:3F:69:3F,25/70,-85,Unifi
20-09-09-14-55-53,A0:CF:5B:3E:17:50,24/70,-86,Unifi
20-09-09-14-55-53,10:BD:18:C7:27:50,33/70,-77,Unifi
20-09-09-14-55-53,A0:CF:5B:3F:88:EF,24/70,-86,Unifi
20-09-09-14-55-53,10:BD:18:F0:CA:B0,31/70,-79,Unifi
20-09-09-14-56-05,10:BD:18:F0:CA:BF,26/70,-84,Unifi
20-09-09-14-56-05,A0:CF:5B:3D:7F:DF,24/70,-86,Unifi
20-09-09-14-56-05,70:DF:2F:9C:47:4F,28/70,-82,Unifi
20-09-09-14-56-05,10:BD:18:C7:29:E0,24/70,-86,Unifi
20-09-09-14-56-05,A0:CF:5B:3D:7F:D0,31/70,-79,Unifi
20-09-09-14-56-05,A0:CF:5B:3E:17:50,39/70,-71,Unifi
20-09-09-14-56-05,10:BD:18:C7:27:50,43/70,-67,Unifi
20-09-09-14-56-05,A0:CF:5B:3F:88:EF,24/70,-86,Unifi
20-09-09-14-56-05,10:BD:18:F0:CA:B0,31/70,-79,Unifi
